[DRY-RUN] 预览重编号变更

[renumber] 扫描章节目录...
  发现 892 个事件 (分布在 9 个章节)

  [DRY-RUN] 525 个事件将重编号:
    367 (小数插入) → 368  [4：跨线] 367.1：古卷的缺环——书房里的推衍.TXT
    367 (小数插入) → 369  [4：跨线] 367.2：打翻的墨水——黑丝足弓的膜拜.TXT
    367 (小数插入) → 370  [4：跨线] 367.3：长桌的阴影——桌底的无声踩碾.TXT
    367 (小数插入) → 371  [4：跨线] 367.4：微凉的茶盏——大腿内侧的包裹.TXT
    367 (小数插入) → 372  [4：跨线] 367.5：书架的窄缝——屏息之间的急就章.TXT
    367 (小数插入) → 373  [4：跨线] 367.6：隔帘的长案——厚重桌布下的咽吞.TXT
    367 (小数插入) → 374  [4：跨线] 367.7：紫杉的暗香——卧房烛光下的供词.TXT
    367 (小数插入) → 375  [4：跨线] 367.8：重叠的刻印——晨曦中的身心归巢.TXT
    368 → 376  [4：跨线] 368：暖岩石上——他以为她在等.TXT
    369 → 377  [4：跨线] 369：密林深处的追踪——菲与玲.TXT
    370 → 378  [4：跨线] 370：自由探索——密林边的晨间.TXT
    371 → 379  [4：跨线] 371：浪子的故事——拥抱的代价.TXT
    372 → 380  [4：跨线] 372：沼泽深处的水——乳沟间的矛尖.TXT
    373 → 381  [4：跨线] 373：石壁上的地图——地底的密道路线.TXT
    374 → 382  [4：跨线] 374：自由探索——艾尔多利亚的傍晚.TXT
    375 → 383  [4：跨线] 375：石壁之下——帝国制造的导力灯.TXT
    376 → 384  [4：跨线] 376：力量完全共鸣——鬼之力与圣光.TXT
    377 → 385  [4：跨线] 377：暴雨巡逻——黄金罗刹的冲锋.TXT
    378 → 386  [4：跨线] 378：暴风雨的营地——木屋窗前的守候.TXT
    379 → 387  [4：跨线] 379：山洞的膝枕——校长的占有（上）.TXT
    380 → 388  [4：跨线] 380：山洞的膝枕——校长的占有（下）.TXT
    381 → 389  [4：跨线] 381：山洞的导力器——菲娜的注视.TXT
    382 → 390  [4：跨线] 382：山洞的交合——菲娜的远程指挥（上）.TXT
    383 → 391  [4：跨线] 383：山洞的交合——菲娜的远程指挥（下）.TXT
    384 → 392  [4：跨线] 384：荆棘疗伤——只是角度（上）.TXT
    385 → 393  [4：跨线] 385：荆棘疗伤——只是角度（下）.TXT
    386 → 394  [4：跨线] 386：自由探索——林间空地的余韵.TXT
    387 → 395  [4：跨线] 387：石壁的低语——巨兽的脉搏.TXT
    388 → 396  [4：跨线] 388：走廊的绯红——凯尔不敢看她.TXT
    389 → 397  [4：跨线] 389：说出不要之后——好痛的犹豫.TXT
    390 → 398  [4：跨线] 390：自由探索——艾尔多利亚的午后.TXT
    391 → 399  [4：跨线] 391：兽皮垫上的舌——他舔了她.TXT
    392 → 400  [4：跨线] 392：银流河边的谈话——菲娜与爱丽榭.TXT
    393 → 401  [4：跨线] 393：满月下的双手——赏月与抚摸.TXT
    394 → 402  [4：跨线] 394：自由探索——木屋门廊的傍晚.TXT
    395 → 403  [4：跨线] 395：桌下的选择——吞下去.TXT
    396 → 404  [4：跨线] 396：太过分了——菲娜生气了.TXT
    397 → 405  [4：跨线] 397：想清楚了——她踹翻了他的椅子.TXT
