# 短对话扫描v2 — 全阶段  (diff=关)
# D1二字崩 D2短对白 D3问句句号 D4引号内多句 D5短句接龙 D6零间隔对话 N1短句三连 N2电报超短句 N3电报连发
# 汇总: {'D1': 121, 'D2': 280, 'D3': 66, 'D4': 132, 'D5': 150, 'D6': 297, 'N1': 195, 'N2': 150, 'N3': 75}  |  有发现章节 82

## Ch120: 山谷的访客——亚莉莎与狼人法师 [2：挑逗和接受]
  [D4/中] 情境L19 引号内3个。: 我去。物资管理是我的事。他们缺什么，我来问。
  [D3/中] 情境L19 疑似问句用句号: 我去。物资管理是我的事。他们缺什么，我来问。
  [D2/中] 情境L19 短对白(3字): 不用。
  [D6/中] 情境L19 零间隔对话: 我陪——|不用。
  [D2/中] 情境L20 短对白(5字): 你一个人。
  [D4/中] 情境L20 引号内2个。: 我是营地的物资管理者。你们缺什么，我记下来。
  [D3/中] 情境L20 疑似问句用句号: 我是营地的物资管理者。你们缺什么，我记下来。
  [D6/中] 情境L20 零间隔对话: 你一个人。|我是营地的物资管理者。你们缺什么，我记下来。
  [D6/中] 情境L20 零间隔对话: 我是营地的物资管理者。你们缺什么，我记下来。|狼人不擅长说'缺'。
  [N2/严] 情境L20 电报超短句(4字): - 西北山谷
  [D2/中] 情境L22 短对白(5字): 你的眼睛。
  [D4/中] 情境L22 引号内2个。: 抱歉，我不应该，只是。红眼睛。
  [D2/中] 情境L22 短对白(3字): 不是。
  [D2/中] 情境L22 短对白(4字): 只有他。
  [D6/中] 情境L22 零间隔对话: 罗恩是部落的法师。|你的像满月升起之前的那个傍晚，最红的那片云。
  [D6/中] 情境L22 零间隔对话: 你，你们狼人都是这样打招呼的吗？|不是。
  [N2/严] 情境L22 电报超短句(2字): - 他说
  [D3/中] 情境L23 疑似问句用句号: 你们部落目前有多少人。
  [D3/中] 情境L23 疑似问句用句号: 三十几个。
  [D2/中] 情境L23 短对白(5字): 三十几个。
  [D2/中] 情境L23 短对白(5字): 食物储备。
  [D4/中] 情境L23 引号内2个。: 鹿肉干。大概够四个月。
  [D2/中] 情境L23 短对白(3字): 药材。
  [D4/中] 情境L23 引号内2个。: 有月光百合。其他的，不够。
  [D6/中] 情境L23 零间隔对话: 你们部落目前有多少人。|三十几个。
  [D6/中] 情境L23 零间隔对话: 食物储备。|鹿肉干。大概够四个月。
  [D6/中] 情境L23 零间隔对话: 鹿肉干。大概够四个月。|药材。
  [D6/中] 情境L23 零间隔对话: 药材。|有月光百合。其他的，不够。
  [D5/中] 情境L23 5连短对白: 你们部落目前有多少人。｜三十几个。｜食物储备。｜鹿肉干。大概够四个月。｜药材。
  [D2/中] 情境L24 短对白(6字): 这个，给你。
  [D4/中] 情境L24 引号内3个。: 只是。你的头发，金色的。和月光百合的花蕊颜色一样。
  [D4/中] 情境L24 引号内2个。: 谢谢。下次来我会带物资清单，准备好你们需要的那些。
  [D1/严] 情境L24 二字崩(2字): 好。
  [D1/严] 情境L24 二字崩(2字): 好。
  [D6/中] 情境L24 零间隔对话: 谢谢。下次来我会带物资清单，准备好你们需要的那些。|好。
  [D6/中] 情境L24 零间隔对话: 好。|不是那个意思。
  [D6/中] 情境L24 零间隔对话: 不是那个意思。|好。
  [D5/中] 情境L24 3连短对白: 好。｜不是那个意思。｜好。
  [N2/严] 情境L24 电报超短句(2字): - 回程

## Ch152: 初次肛交——花与蜜的深处 [3：渐进接触]
  [D2/中] 情境L11 短对白(3字): 菲娜。
  [D1/严] 情境L11 二字崩(2字): 嗯？
  [D4/中] 情境L11 引号内2个。: 我想...进去。不是前面。
  [D2/中] 情境L11 短对白(3字): 后门。
  [D4/中] 情境L11 引号内2个。: 因为那是你的。不是别人的。
  [D4/中] 情境L11 引号内2个。: 蜜穴也是你的。但后门，连你都没有给别人看过。
  [D6/中] 情境L11 零间隔对话: 菲娜。|嗯？
  [D6/中] 情境L11 零间隔对话: 你说的进去，是，|后门。
  [D6/中] 情境L11 零间隔对话: 因为那是你的。不是别人的。|我的蜜穴，
  [D6/中] 情境L11 零间隔对话: 我的蜜穴，|蜜穴也是你的。但后门，连你都没有给别人看过。
  [D5/中] 情境L11 5连短对白: 菲娜。｜嗯？｜我想...进去。不是前面。｜你说的进去，是，｜后门。
  [D4/中] 情境L12 引号内2个。: 随你吧。不知道你为什么那么喜欢。
  [D2/中] 情境L12 短对白(4字): 你确定。
  [D2/中] 情境L12 短对白(3字): 一定。
  [D6/中] 情境L12 零间隔对话: 你确定。|随你。但你要轻，
  [D5/中] 情境L12 3连短对白: 你确定。｜随你。但你要轻，｜一定。
  [D1/严] 情境L13 二字崩(2字): 疼，
  [D2/中] 情境L13 短对白(6字): 你，等一下。
  [D6/中] 情境L13 零间隔对话: 还要不要，|你，等一下。
  [D5/中] 情境L13 3连短对白: 疼，｜还要不要，｜你，等一下。
  [D1/严] 情境L14 二字崩(1字): 疼
  [D1/严] 情境L14 二字崩(2字): 太快
  [D3/中] 情境L14 疑似问句用句号: 现在呢。
  [D2/中] 情境L14 短对白(4字): 现在呢。
  [D2/中] 情境L14 短对白(3字): 可以。
  [D5/中] 情境L14 5连短对白: 疼｜慢，太，｜太快｜现在呢。｜可以。
  [D2/中] 情境L15 短对白(4字): 不准看。
  [D3/中] 情境L15 疑似问句用句号: 看什么。
  [D2/中] 情境L15 短对白(4字): 看什么。
  [D2/中] 情境L15 短对白(5字): 自己看看。
  [D4/中] 情境L15 引号内3个。: 看。和刚才一样。完美。
  [D2/中] 情境L15 短对白(4字): 你骗我。
  [D6/中] 情境L15 零间隔对话: 不准看。|看什么。
  [D6/中] 情境L15 零间隔对话: 看什么。|我的，后面，肯定变形了。
  [D6/中] 情境L15 零间隔对话: 不看，|看。和刚才一样。完美。
  [D6/中] 情境L15 零间隔对话: 看。和刚才一样。完美。|你骗我。
  [D5/中] 情境L15 11连短对白: 好奇怪，｜这里也能舒服｜不准看。｜看什么。｜我的，后面，肯定变形了。｜自己看看。｜不看，｜看。和刚才一样。完美。｜你骗我。｜精灵的体质好得不像话，｜不准说了，
  [N2/严] 情境L15 电报超短句(4字): 紧致如初
  [D4/中] 情境L17 引号内2个。: 在看。怎么看都看不腻。
  [D3/中] 情境L17 疑似问句用句号: 在看。怎么看都看不腻。
  [D6/中] 情境L17 零间隔对话: 你又在看，|在看。怎么看都看不腻。
  [D6/中] 情境L17 零间隔对话: 行的话以后还想要。|我没说，
  [D6/中] 情境L17 零间隔对话: 我没说，|你的眼睛说了。
  [D5/中] 情境L17 3连短对白: 行的话以后还想要。｜我没说，｜你的眼睛说了。

## Ch155: 意外的请求——踩踏与羞耻 [3：渐进接触]
  [D3/中] 情境L20 疑似问句用句号: 凯尔，你是不是又在想。
  [D2/中] 情境L20 短对白(6字): 不是——是。
  [D3/中] 情境L20 疑似问句用句号: 在想什么。
  [D2/中] 情境L20 短对白(5字): 在想什么。
  [D5/中] 情境L20 4连短对白: 凯尔，你是不是又在想。｜不是——是。｜在想什么。｜我想请你踩我。
  [N1/严] 情境L20 短句三连(最长7字): 她的脸先红了。凯尔推了推眼镜。摘下来再戴上
  [N3/中] 情境L20 电报连发(≤10字×3): 她的脸先红了。凯尔推了推眼镜。摘下来再戴上
  [D5/中] 情境L21 3连短对白: 我想要你站在我身上。｜我...踩你？｜嗯！请问...可以吗？
  [D1/严] 情境L22 二字崩(2字): 菲娜...
  [D3/中] 情境L23 疑似问句用句号: ...什么话呀。
  [D2/中] 情境L23 短对白(5字): ...什么话呀。
  [D1/严] 情境L23 二字崩(1字): 你...
  [D2/中] 情境L23 短对白(6字): 没用的...学者。
  [D5/中] 情境L23 3连短对白: 你...｜你只配...被我踩着。｜没用的...学者。
  [D2/中] 情境L24 短对白(4字): 对不起。
  [D6/中] 情境L24 零间隔对话: 真的好舒服|那我说的那些话...
  [D5/中] 情境L24 5连短对白: 对不起。｜凯尔，不要说对不起。｜那你觉得舒服吗？｜真的好舒服｜那我说的那些话...
  [D3/中] 情境L25 疑似问句用句号: 你会陪我吗。
  [D2/中] 情境L25 短对白(6字): 你会陪我吗。
  [D6/中] 情境L25 零间隔对话: 但是我踩着他的时候脚心很烫。|那就...再试一次。
  [N1/中] 章节终止条件L34 短句三连(最长14字): 2.Seraphina在新奇和兴奋中脱鞋让他躺下。她赤脚从胸口踩到小腹再到肉棒。凯尔抓住她小腿请求她说羞辱话

## Ch156: 全员武装——多尔金的熔炉 [3：渐进接触]
  [D2/中] 情境L12 短对白(3字): 十年。
  [D2/中] 情境L12 短对白(4字): 十二年。
  [D4/中] 情境L12 引号内3个。: 好武器。好不在材料，在用的痕迹。每一道痕都有原因。
  [D6/中] 情境L12 零间隔对话: 剑呢？|十二年。
  [D5/中] 情境L12 4连短对白: 这把盾跟了你多少年？｜十年。｜剑呢？｜十二年。
  [D2/中] 情境L14 短对白(3字): 再热。
  [D1/严] 情境L14 二字崩(2字): 停。
  [D1/严] 情境L14 二字崩(2字): 淬。
  [D4/中] 情境L14 引号内2个。: 这是考古资料。一千年以后有人问'光晶熔炉能同时升级几件武器'，答案是八件。
  [D3/中] 情境L14 疑似问句用句号: 这是考古资料。一千年以后有人问'光晶熔炉能同时升级几件武器'，答案是八件。
  [D6/中] 情境L14 零间隔对话: 再热。|停。
  [D6/中] 情境L14 零间隔对话: 停。|淬。
  [D5/中] 情境L14 3连短对白: 再热。｜停。｜淬。
  [D4/中] 情境L15 引号内3个。: 鬼在认新东西。让它认。三天后告诉我刀的反馈。
  [D4/中] 情境L16 引号内2个。: 我的阿卡迪亚不用升级。但我对你这个炉子有兴趣。
  [D4/中] 情境L16 引号内2个。: 阿卡迪亚，那把剑的名字在矮人锻造录里有记录。剑身上的金线是精灵合金，在光晶熔炉里重新淬一次，会更亮。
  [D4/中] 情境L16 引号内3个。: 我说的是保养，不是升级。剑和你一样老了。老了要保养。
  [D4/中] 情境L16 引号内2个。: 好。保养就保养吧，听你的。
  [D6/中] 情境L16 零间隔对话: 阿卡迪亚，那把剑的名字在矮人锻造录里有记录。剑身上的金线是精灵合金，在光晶熔炉里重新淬一次，会更亮。|我说了不用升级。
  [D6/中] 情境L16 零间隔对话: 我说了不用升级。|我说的是保养，不是升级。剑和你一样老了。老了要保养。
  [D2/中] 情境L17 短对白(6字): 平衡更好了。
  [D2/中] 情境L17 短对白(4字): 更稳了。

## Ch207: 毒雾窄缝——被迫的体温（上） [3：渐进接触]
  [D3/中] 情境L12 疑似问句用句号: 你好啊人类小姐，怎么跑到这里来了？这地方可是很危险的，每到黄昏就容易出现毒雾。
  [D2/中] 情境L14 短对白(4字): ...不挤的。
  [D5/中] 情境L14 4连短对白: 很碍事｜抱歉哦~｜...不挤的。｜那就好~谢谢你让我挤进来~
  [D3/中] 情境L15 疑似问句用句号: 你是不是跑了很远，看到你气很急。
  [D4/中] 情境L15 引号内2个。: ...抱歉。我是不是说太多了。
  [D3/中] 情境L15 疑似问句用句号: ...抱歉。我是不是说太多了。
  [D2/中] 情境L15 短对白(6字): 我一直在听。
  [D6/中] 情境L15 零间隔对话: 你是不是跑了很远，看到你气很急。|因为雾来得太快了嘛！我本来在看夜光苔，你知道它为什么只在黄昏发光吗？我在文献里看到它可能和空间折叠——
  [D5/中] 情境L15 5连短对白: ...抱歉。我是不是说太多了。｜不多不多，你说的话...｜像沼泽雨蛙一样清脆悦耳。｜我一直在听。｜沼泽雨蛙是什么？

## Ch208: 毒雾窄缝——被迫的体温（下） [3：渐进接触]
  [D1/严] 情境L12 二字崩(2字): ...诶？
  [D2/中] 情境L13 短对白(3字): ...暖血。
  [D2/中] 情境L13 短对白(4字): ...你别笑。
  [D2/中] 情境L13 短对白(6字): ...除非忍不住。
  [D6/中] 情境L13 零间隔对话: 没什么没什么~不过暖血生物都这么好奇吗？|是我比较好奇。
  [D6/中] 情境L13 零间隔对话: ...你别笑。|我们蜥蜴人一般情况下都不会笑...
  [N1/严] 情境L13 短句三连(最长12字): 他的尾巴重新慢悠悠地摆了。她把手指攥在笔记本上。他说
  [D1/严] 情境L14 二字崩(2字): ...嗯。
  [D4/中] 情境L14 引号内2个。: 谢谢你——昨晚。还有刚才。
  [D1/严] 情境L14 二字崩(2字): ...嗯。
  [D6/中] 情境L14 零间隔对话: 谢谢你——昨晚。还有刚才。|...嗯。
  [D4/中] 情境L15 引号内2个。: 艾玛。我的名字是艾玛。
  [D2/中] 情境L15 短对白(6字): 我叫卡兹尔。
  [D2/中] 情境L15 短对白(4字): ...夜光苔。
  [D6/中] 情境L15 零间隔对话: 对~艾玛。那你呢？你有名字吗？|我叫卡兹尔。
  [D6/中] 情境L15 零间隔对话: 我叫卡兹尔。|卡兹尔~
  [D6/中] 情境L15 零间隔对话: 下次毒雾时间，要记得在安全的地方看你的苔藓。|夜光苔~
  [D6/中] 情境L15 零间隔对话: 夜光苔~|...夜光苔。
  [D5/中] 情境L15 3连短对白: 我叫艾玛——｜艾玛。我的名字是艾玛。｜...艾玛。很好听的名字
  [D5/中] 情境L15 3连短对白: 夜光苔~｜...夜光苔。｜卡兹尔！谢谢你给我让位置~
  [D1/严] 核心L16 二字崩(2字): 艾玛
  [D1/严] 章节终止条件L18 二字崩(2字): 暖血
  [D1/严] 章节终止条件L19 二字崩(2字): 艾玛

## Ch211: 讨厌——她告状了 [3：渐进接触]
  [D1/严] 情境L12 二字崩(2字): 跑通
  [D2/中] 情境L12 短对白(4字): 恭喜啊。
  [N2/严] 情境L13 电报超短句(4字): 空气变了
  [D1/严] 情境L14 二字崩(2字): 乔治...
  [D2/中] 情境L15 短对白(4字): 很乔治。
  [D6/中] 情境L15 零间隔对话: ...不好闻吗？|没有，就是...
  [D5/中] 情境L15 4连短对白: 你身上有焊油的味道。｜...不好闻吗？｜没有，就是...｜很乔治。
  [N2/严] 情境L16 电报超短句(4字): - 他吻了她
  [D2/中] 情境L17 短对白(3字): 讨厌。
  [D2/中] 情境L18 短对白(5字): 乔治亲我。
  [D2/中] 情境L18 短对白(5字): ...没然后了。
  [D2/中] 情境L18 短对白(6字): 走，吃饭去。
  [D5/中] 情境L18 4连短对白: 乔治亲我。｜然后呢？｜...没然后了。｜走，吃饭去。

## Ch234: 月光下的古老契约——月语者的馈赠 [3：渐进接触]
  [D2/中] 情境L21 短对白(5字): 你在看花。
  [D4/中] 情境L21 引号内2个。: 我看过很多花。开了又谢，没有再开。
  [D4/中] 情境L22 引号内2个。: 你问了，所以我说了。大多数人不问。
  [D4/中] 情境L23 引号内2个。: 你的影子很长。比我想的要亮。
  [D2/中] 情境L23 短对白(5字): 和她很像。
  [D4/中] 情境L23 引号内2个。: ...她没问。她数了。一颗一颗摸过去，数到第十二颗的时候，
  [D4/中] 情境L23 引号内4个。: 说'这个最小的是新的'。那年冬天最小的那个出生了。第二年春天她走了。最小的那颗变成了她的。
  [D6/中] 情境L23 零间隔对话: 你的影子很长。比我想的要亮。|和她很像。
  [D6/中] 情境L23 零间隔对话: 她也问过骨珠？|...她没问。她数了。一颗一颗摸过去，数到第十二颗的时候，
  [D3/中] 情境L25 疑似问句用句号: 你还会来吗。
  [D2/中] 情境L25 短对白(6字): 你还会来吗。
  [D2/中] 情境L25 短对白(4字): 我会来。
  [D2/中] 情境L25 短对白(6字): 花会自己开。
  [D6/中] 情境L25 零间隔对话: 你还会来吗。|我会来。
  [D5/中] 情境L25 4连短对白: 你还会来吗。｜我会来。｜下次来的时候不用带那些，｜花会自己开。
  [N2/严] 情境L25 电报超短句(3字): - 夜已深
  [D3/中] 情境L27 疑似问句用句号: 你怎么说。
  [D2/中] 情境L27 短对白(5字): 你怎么说。
  [D4/中] 情境L27 引号内2个。: 下次带点茶去。狼人部落不产茶。

## Ch259: 茶的温暖——第一个拥抱 [3：渐进接触]
  [D2/中] 情境L13 短对白(6字): 比月亮泉甜。
  [D3/中] 情境L14 疑似问句用句号: 你为什么回来。
  [D2/中] 情境L15 短对白(4字): 对不起。
  [D5/中] 情境L16 3连短对白: 可以碰一下你的头发吗？｜对不起，我不该问这个。｜我没说不行呀。

## Ch271: 晨雾同行——他的沼泽（中） [3：渐进接触]
  [D3/中] 情境L20 疑似问句用句号: ...你知道沼泽醋栗在部落里叫什么吗。
  [D1/严] 情境L20 二字崩(2字): 嗯？
  [D2/中] 情境L20 短对白(3字): ...都是。
  [D6/中] 情境L20 零间隔对话: ...你知道沼泽醋栗在部落里叫什么吗。|嗯？
  [D6/中] 情境L20 零间隔对话: 嗯？|'等会儿再吃一颗。'
  [D6/中] 情境L20 零间隔对话: 因为太酸了还要再吃一颗？还是因为...吃第一颗的人会说'等会儿再吃一颗'？|...都是。
  [D2/中] 情境L21 短对白(5字): ...你真方便。
  [D5/中] 情境L21 3连短对白: ...你每次来都这样。｜因为每次都会踩到泥沼啊~｜...你真方便。
  [D4/中] 情境L22 引号内2个。: 诶...你的爪子好长。每根都快有我手指的两倍了。这个长度是为了爬树吗？还是沼泽地形抓地用的？
  [D2/中] 情境L22 短对白(5字): 爬树用的。
  [D2/中] 情境L22 短对白(5字): ...也抓地的。
  [N1/中] 情境L22 短句三连(最长13字): 她不知道这个。他知道她不知道。但他的尾巴已经开始自己摆了

## Ch272: 晨雾同行——他的沼泽（下） [3：渐进接触]
  [D1/严] 情境L20 二字崩(1字): 啊
  [D2/中] 情境L20 短对白(4字): ...没什么。
  [D6/中] 情境L20 零间隔对话: ...头发。每天都得编吗？|编辫子？嗯~每天都要重新编，不然会打结。怎么啦？
  [D6/中] 情境L20 零间隔对话: 编辫子？嗯~每天都要重新编，不然会打结。怎么啦？|...没什么。
  [D5/中] 情境L20 5连短对白: 啊｜等一下...｜好了~走吧~｜你那个...｜...头发。每天都得编吗？
  [D4/中] 情境L21 引号内2个。: ...那种。我认得的。
  [D2/中] 情境L21 短对白(3字): 艾玛。
  [D1/严] 情境L21 二字崩(2字): ...嗯？
  [D4/中] 情境L21 引号内2个。: 猎物的味道，我会追。你的...我会记住。
  [D6/中] 情境L21 零间隔对话: ...猎人不会写字。|没关系呀~画图也可以。你昨晚画的那个...
  [D6/中] 情境L21 零间隔对话: ...嗯？|...你在沼泽里留下的味道。
  [D6/中] 情境L21 零间隔对话: 卡兹尔~下次我来的时候...你还在吗？|...猎人一直在的。
  [D5/中] 情境L21 4连短对白: ...那种。我认得的。｜艾玛。｜...嗯？｜...你在沼泽里留下的味道。
  [N1/中] 情境L21 短句三连(最长14字): 耳朵尖泛了一点粉。他的尾巴慢慢摆了两次。她挖了一小丛夜光苔装进采集袋

## Ch278: 凯尔的清晨——黑丝与第一次插入 [4：跨线]
  [D2/中] 情境L21 短对白(5字): 早、早上。
  [D1/严] 情境L24 二字崩(1字): 嗯
  [D2/中] 情境L26 短对白(4字): 慢一点。
  [N1/中] 情境L28 短句三连(最长14字): - 凯尔快到了。他的呼吸越来越急。菲娜感觉到凯尔要在她里面射了
  [D2/中] 情境L29 短对白(4字): 回木屋。
  [D2/中] 情境L32 短对白(4字): 有点疼。
  [D2/中] 情境L32 短对白(3字): 我在。
  [D2/中] 情境L32 短对白(5字): 嗯，你在。
  [D6/中] 情境L32 零间隔对话: 以后还要吗？|不知道...但这次你握着我的手，后来就不疼了。
  [D5/中] 情境L32 3连短对白: 有点疼。｜凯尔进来的时候...疼。｜以后还要吗？
  [D5/中] 情境L32 3连短对白: 你在旁边的话，疼也可以。｜我在。｜嗯，你在。

## Ch289: 猎人的图画——笔记本 [4：跨线]
  [D1/严] 情境L11 二字崩(2字): 发光
  [D4/中] 情境L13 引号内2个。: 卡兹尔，猎人不画弧。你画了，你知道那是什么意思。
  [D3/中] 情境L13 疑似问句用句号: 卡兹尔，猎人不画弧。你画了，你知道那是什么意思。
  [D4/中] 情境L13 引号内2个。: ...知道。但她不知道。
  [D4/中] 情境L13 引号内2个。: 笔记本上的这只手，你画的。五根手指，没有鳞甲。
  [D6/中] 情境L13 零间隔对话: 笔记本上的这只手，你画的。五根手指，没有鳞甲。|暖血生物生来就只有皮肤，人类小姐和我们不一样。

## Ch299: 巡逻与迷雾——劳拉与亚莉莎的走散 [4：跨线]
  [D3/中] 情境L14 疑似问句用句号: 上周那几个腐化读数高的点，今天又涨了。
  [D3/中] 情境L15 疑似问句用句号: 说起来，玲昨天问我有没有多余的绷带。
  [D6/中] 情境L15 零间隔对话: 说起来，玲昨天问我有没有多余的绷带。|我下午送过去。
  [D6/中] 情境L15 零间隔对话: 我下午送过去。|你已经送了？
  [D6/中] 情境L15 零间隔对话: 你已经送了？|早上巡逻前顺路放的。
  [D5/中] 情境L15 3连短对白: 我下午送过去。｜你已经送了？｜早上巡逻前顺路放的。
  [D1/严] 情境L16 二字崩(2字): 小心
  [D5/中] 情境L16 3连短对白: 导力器开着，随时联系。｜小心｜劳拉...？
  [N2/严] 情境L17 电报超短句(4字): - 同一时间

## Ch300: 低语林地的陷阱——藤缚的侵犯 [4：跨线]
  [D1/严] 情境L19 二字崩(2字): 唔...！
  [D1/严] 情境L20 二字崩(1字): 滚
  [D5/中] 情境L20 3连短对白: 滚｜唔——！嗯咕——｜唔...唔...！
  [N2/严] 情境L22 电报超短句(4字): 就一点点

## Ch302: 月光下的怀抱——狼人法师的照顾（上） [4：跨线]
  [D2/中] 情境L17 短对白(3字): 罗恩。
  [D2/中] 情境L17 短对白(3字): 是我。
  [D2/中] 情境L17 短对白(4字): 是时候。
  [D2/中] 情境L17 短对白(5字): ...笨蛋狼人。
  [D5/中] 情境L17 5连短对白: 罗恩。｜是我。｜你来得...真会挑时候。｜是时候。｜...笨蛋狼人。
  [N2/严] 情境L17 电报超短句(2字): 等她
  [D2/中] 情境L18 短对白(3字): 醒了。

## Ch307: 工坊的午后——乔治的第一次（上） [4：跨线]
  [N1/中] 情境L20 短句三连(最长17字): - 那天下午菲娜去找乔治拿修好的导力器。工坊的门半掩着。她推门进去时乔治没听到
  [N1/严] 情境L20 短句三连(最长6字): 他在画图纸。画的是她。从记忆里画的
  [N2/严] 情境L20 电报超短句(4字): 画的是她
  [N3/中] 情境L20 电报连发(≤10字×3): 他在画图纸。画的是她。从记忆里画的
  [D3/中] 情境L21 疑似问句用句号: 你什么时候画的。
  [N1/严] 情境L21 短句三连(最长10字): 菲娜走过去。把图纸从他手里抽出来。看了很久
  [N2/严] 情境L21 电报超短句(4字): 铅笔掉了
  [N2/严] 情境L21 电报超短句(4字): 看了很久
  [N2/严] 情境L21 电报超短句(4字): 声音很轻
  [N3/中] 情境L21 电报连发(≤10字×3): 菲娜走过去。把图纸从他手里抽出来。看了很久
  [D2/中] 情境L22 短对白(5字): 画得很好。
  [D1/严] 情境L22 二字崩(2字): ...嗯。
  [D5/中] 情境L22 3连短对白: 画得很好。｜你一直在画我。｜...嗯。
  [N1/中] 情境L22 短句三连(最长13字): - 菲娜把图纸轻轻放在工作台上。她没有生气。她看着纸上自己的侧脸
  [N3/中] 情境L22 电报连发(≤10字×3): 她没有生气。她看着纸上自己的侧脸。阳光里的轮廓
  [D6/中] 情境L23 零间隔对话: 画画？对着真人画？|嗯，对着我画，从记忆里画的那种不算。
  [N1/中] 情境L23 短句三连(最长19字): - 乔治盯着她看了三秒。铅笔从她手里接过去时两人的手指碰了一下。然后他点头
  [N2/严] 情境L23 电报超短句(0字): "
  [N1/严] 情境L24 短句三连(最长11字): 乔治看了她一眼就低下头。铅笔在纸上沙沙响。偶尔他抬头看她
  [D2/中] 情境L25 短对白(4字): 画好了。
  [N1/中] 情境L25 短句三连(最长20字): - 画了很久。久到窗外的光从白色变成了金色再变成了橘色。乔治太专注了
  [N1/严] 情境L25 短句三连(最长12字): 菲娜忍不住轻轻笑了一声。他也笑了。他把画纸转过来时手指在抖
  [N2/严] 情境L25 电报超短句(4字): - 画了很久
  [N1/严] 情境L26 短句三连(最长7字): - 她转头看他。他也正在看她。两人的距离很近
  [N1/中] 情境L26 短句三连(最长17字): 近到她能看到他棕色瞳孔里自己的倒影。他越靠越近。她不敢看他了
  [N1/严] 情境L26 短句三连(最长9字): 眼睛闭上了。他的吻落在她嘴唇上。很轻
  [N2/严] 情境L26 电报超短句(2字): 很轻
  [N3/中] 情境L26 电报连发(≤10字×3): - 她转头看他。他也正在看她。两人的距离很近
  [N3/中] 情境L26 电报连发(≤10字×3): 他越靠越近。她不敢看他了。眼睛闭上了
  [N1/中] 情境L27 短句三连(最长20字): 她的呼吸碎成一片一片。他的手指在她裙子的系带上找不到方向。她不知道什么时候自己帮他解开了第一颗扣子
  [D2/中] 情境L28 短对白(4字): 有点咸。
  [N1/中] 情境L28 短句三连(最长17字): - 她不知道自己的手是怎么找到那里的。他的硬度和热度透过布料烫着她的手心。她握住了
  [N1/严] 情境L28 短句三连(最长12字): 琥珀眼睛里有紧张也有好奇。她张开嘴含住了。他的手指在她头发里收紧
  [N1/严] 情境L28 短句三连(最长9字): 然后他射了。精液灌进她喉咙深处。热而粘稠
  [N1/严] 情境L28 短句三连(最长10字): 抬起头看他。然后笑了。很小的、不好意思的笑
  [N2/严] 情境L28 电报超短句(4字): 热而粘稠
  [N2/严] 情境L28 电报超短句(4字): 然后笑了
  [N3/中] 情境L28 电报连发(≤10字×3): 然后他射了。精液灌进她喉咙深处。热而粘稠
  [N3/中] 情境L28 电报连发(≤10字×3): 抬起头看他。然后笑了。很小的、不好意思的笑
  [D3/中] 情境L29 疑似问句用句号: 还没结束呢。
  [D2/中] 情境L29 短对白(6字): 还没结束呢。
  [N1/中] 情境L29 短句三连(最长13字): 他从椅子上滑下来跪在她面前。他抱住了她。很用力
  [N1/中] 情境L29 短句三连(最长15字): 她在他的拥抱里轻轻拍了拍他的背。然后他把她抱起来了。一只手托着她的背一只手托着腿弯
  [N2/严] 情境L29 电报超短句(3字): 很用力
